,brewery_id,name,city,state,beer_count,rating
0,0,NorthGate Brewing ,Minneapolis, MN,6,4.2
1,1,Against the Grain Brewery,Louisville, KY,13,4.5
2,2,Jack's Abby Craft Lagers,Framingham, MA,5,4.6
3,3,Mike Hess Brewing Company,San Diego, CA,6,NaN
4,4,Fort Point Beer Company,San Francisco, CA,4,3.8
5,5,COAST Brewing Company,Charleston, SC,6,4.7
6,6,Great Divide Brewing Company,Denver, CO,9,4.6
7,7,Tapistry Brewing,Bridgman, MI,3,4.5
8,8,Big Lake Brewing,Holland, MI,2,4.7
9,9,The Mitten Brewing Company,Grand Rapids, MI,1,4.6
10,10,Brewery Vivant,Grand Rapids, MI,62,4.6
11,11,Petoskey Brewing,Petoskey, MI,4,4.5
12,12,Blackrocks Brewery,Marquette, MI,6,4.8
13,13,Perrin Brewing Company,Comstock Park, MI,6,4.5
14,14,Witch's Hat Brewing Company,South Lyon, MI,2,4.7
15,15,Founders Brewing Company,Grand Rapids, MI,3,4.5
16,16,Flat 12 Bierwerks,Indianapolis, IN,3,4.6
17,17,Tin Man Brewing Company,Evansville, IN,9,3.9
18,18,Black Acre Brewing Co.,Indianapolis, IN,1,4.6
19,19,Brew Link Brewing,Plainfield, IN,1,4.6
20,20,Bare Hands Brewery,Granger, IN,1,4.7
21,21,Three Pints Brewing,Martinsville, IN,4,3.4
22,22,Four Fathers Brewing ,Valparaiso, IN,4,4.7
23,23,Indiana City Brewing,Indianapolis, IN,1,4.6
24,24,Burn 'Em Brewing,Michigan City, IN,11,4.7
25,25,Sun King Brewing Company,Indianapolis, IN,38,NaN
26,26,Evil Czech Brewery,Mishawaka, IN,6,4.5
27,27,450 North Brewing Company,Columbus, IN,7,4.3
28,28,Taxman Brewing Company,Bargersville, IN,1,4.5
29,29,Cedar Creek Brewery,Seven Points, TX,6,4.9
30,30,SanTan Brewing Company,Chandler, AZ,19,4.5
31,31,Boulevard Brewing Company,Kansas City, MO,1,4.8
32,32,James Page Brewing Company,Stevens Point, WI,6,4.7
33,33,The Dudes' Brewing Company,Torrance, CA,5,4.3
34,34,Ballast Point Brewing Company,San Diego, CA,6,4.6
35,35,Anchor Brewing Company,San Francisco, CA,5,4.5
36,36,Figueroa Mountain Brewing Company,Buellton, CA,3,4.6
37,37,Avery Brewing Company,Boulder, CO,6,4.7
38,38,Twisted X Brewing Company,Dripping Springs, TX,3,4.5
39,39,Gonzo's BiggDogg Brewing,Kalamazoo, MI,1,NaN
40,40,Big Muddy Brewing,Murphysboro, IL,2,4.9
41,41,Lost Nation Brewing,East Fairfield, VT,4,4.7
42,42,Rising Tide Brewing Company,Portland, ME,2,4.6
43,43,Rivertowne Brewing Company,Export, PA,15,4.6
44,44,Revolution Brewing Company,Chicago, IL,8,4.6
45,45,Tallgrass Brewing Company,Manhattan, KS,18,4.5
46,46,Sixpoint Craft Ales,Brooklyn, NY,24,4.5
47,47,White Birch Brewing,Hooksett, NH,4,4.7
48,48,Firestone Walker Brewing Company,Paso Robles, CA,5,4.5
49,49,SweetWater Brewing Company,Atlanta, GA,4,4.5
50,50,Flying Mouse Brewery,Troutville, VA,2,4.4
51,51,Upslope Brewing Company,Boulder, CO,18,4.5
52,52,Pipeworks Brewing Company,Chicago, IL,1,4.9
53,53,Bent Brewstillery,Roseville, MN,3,4.6
54,54,Flesk Brewing Company,Lombard, IL,1,4.6
55,55,Pollyanna Brewing Company,Lemont, IL,1,4.7
56,56,BuckleDown Brewing,Lyons, IL,1,4.6
57,57,Destihl Brewery,Bloomington, IL,7,4.6
58,58,Summit Brewing Company,St. Paul, MN,3,4.6
59,59,Latitude 42 Brewing Company,Portage, MI,4,4.5
60,60,4 Hands Brewing Company,Saint Louis, MO,8,4.6
61,61,Surly Brewing Company,Brooklyn Center, MN,13,4.6
62,62,Against The Grain Brewery,Louisville, KY,2,4.5
63,63,Crazy Mountain Brewing Company,Edwards, CO,8,3.9
64,64,SlapShot Brewing Company,Chicago, IL,2,3.9
65,65,Mikerphone Brewing,Chicago, IL,8,4.7
66,66,Freetail Brewing Company,San Antonio, TX,8,4.5
67,67,3 Daughters Brewing,St Petersburg, FL,3,4.6
68,68,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD,5,4.4
